CITY,Census Population,Total Pawdacity Sales,Land Area,Households with Under 18,Population Density,Total Families
Powell,6314,233928,2674,1251,2,3134
Riverton,10615,303264,4797,2680,2,5556
Rock Springs,23036,253584,6620,4022,3,7572
Buffalo,4585,185328,3116,746,2,1820
Casper,35316,317736,3894,7788,11,8756
Cheyenne,59466,917892,1500,7158,20,14613
Cody,9520,218376,2999,1403,2,3516
Douglas,6120,208008,1829,832,1,1744
Evanston,12359,283824,999,1486,5,2713
Gillette,29087,543132,2749,4052,6,7189
Sheridan,17444,308232,1894,2646,9,6040
Average,19442,343027.6364,3006.454545,3096.727273,5.727272727,5695.727273
Q1,7917,226152,1861.5,1327,2,2923.5
Q3,29087,317736,3894,4052,9,7572
IQR,21170,91584,2032.5,2725,7,4648.5
Lower,-23838,88776,-1187.25,-2760.5,-8.5,-4049.25
Upper,60842,455112,6942.75,8139.5,19.5,14544.75
